"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","UKR","Ukraine","2016","2016",918.52605,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","UKR","Ukraine","2017","2017",1316.29536,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","UKR","Ukraine","2018","2018",1595.33465,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","UKR","Ukraine","2019","2019",1857.26113,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","UKR","Ukraine","2020","2020",1840.77852,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MLI","Mali","2016","2016",94.38708,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MLI","Mali","2017","2017",100.66725,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","MLI","Mali","2021","2021",126.80378,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","HRV","Croatia","2017","2017",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","HRV","Croatia","2018","2018",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","HRV","Croatia","2019","2019",,"a","Category not applicable"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2016","2016",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2017","2017",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2018","2018",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2019","2019",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2020","2020",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","SLE","Sierra Leone","2021","2021",,"n","Magnitude nil or negligible"
"X_US_2T4_V_FSGOV","Government expenditure on secondary and post-secondary non-tertiary vocational education only, US$ (millions)","LIE","Liechtenstein","2017","2017",,"a","Category not applicable"
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","NZL","New Zealand","2016","2016",2074.03308,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","NZL","New Zealand","2017","2017",2125.07306,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","NZL","New Zealand","2018","2018",2124.42999,,
"X_US_3_FSGOV","Government expenditure on upper secondary education, US$ (millions)","NZL","New Zealand","2019","2019",1849.84526,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","VCT","Saint Vincent and the Grenadines","2016","2016",44.40113,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","VCT","Saint Vincent and the Grenadines","2017","2017",45.40729,,
"X_US_FSGOV","Government expenditure on education, US$ (millions)","VCT","Saint Vincent and the Grenadines","2018","2018",46.19367,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DEU","Germany","2016","2016",21696.09355,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DEU","Germany","2017","2017",23252.7925,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DEU","Germany","2018","2018",25737.13211,,
"X_US_1_FSGOV","Government expenditure on primary education, US$ (millions)","DEU","Germany","2019","2019",26315.071,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","NER","Niger","2016","2016",66.0896,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","NER","Niger","2017","2017",67.06739,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","NER","Niger","2018","2018",84.61318,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","PRY","Paraguay","2016","2016",1.11795,,
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","PRY","Paraguay","2020","2020",,"n","Magnitude nil or negligible"
"X_US_UK_FSGOV","Government expenditure on education not specified by level, US$ (millions)","PRY","Paraguay","2021","2021",,"a","Category not applicable"
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","GEO","Georgia","2016","2016",12.03283,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","GEO","Georgia","2017","2017",15.11656,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","GEO","Georgia","2018","2018",15.39341,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","GEO","Georgia","2019","2019",17.20346,,
"X_US_4_FSGOV","Government expenditure on post-secondary non-tertiary education, US$ (millions)","GEO","Georgia","2021","2021",20.85184,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","BLR","Belarus","2016","2016",380.088,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","BLR","Belarus","2017","2017",432.41532,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","BLR","Belarus","2019","2019",523.75578,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","BLR","Belarus","2020","2020",500.39834,,
"X_US_5T8_FSGOV","Government expenditure on tertiary education, US$ (millions)","BLR","Belarus","2021","2021",530.09095,,
